date,age,manner_of_death,gender,race,state,signs_of_mental_illness,threat_level,flee,body_camera
2015-05-19,54.0,shot,M,H,VA,False,attack,Not fleeing,False
2015-05-19,35.0,shot,M,W,AR,False,attack,Not fleeing,False
2015-05-19,17.0,shot,M,W,CO,False,attack,Other,False
2015-05-20,29.0,shot,M,B,PA,False,attack,Not fleeing,False
2015-05-20,38.0,shot,M,B,KY,False,attack,Not fleeing,False
2015-05-20,26.0,shot,M,B,NE,False,attack,Not fleeing,False
2015-05-20,52.0,shot and Tasered,M,W,OH,False,other,Not fleeing,False
2015-05-20,39.0,shot and Tasered,F,W,WY,False,other,Car,False
2015-05-21,22.0,shot,M,H,TX,True,undetermined,Not fleeing,False
2015-05-21,29.0,shot,M,B,FL,False,attack,Not fleeing,False
2015-05-21,43.0,shot,M,W,SC,False,attack,Not fleeing,False
2015-05-21,24.0,shot,M,H,NJ,True,other,Not fleeing,False
2015-05-21,32.0,shot,M,B,SC,False,attack,Not fleeing,False
2015-05-22,40.0,shot,M,W,PA,False,attack,Not fleeing,False
2015-05-23,47.0,shot,M,W,MO,False,attack,Not fleeing,False
2015-05-23,40.0,shot,M,W,AZ,False,attack,Car,False
2015-05-23,25.0,shot,M,B,MI,True,attack,Not fleeing,False
2015-05-25,31.0,shot,F,W,TX,True,attack,Not fleeing,False
2015-05-25,36.0,shot,M,B,AL,True,attack,Not fleeing,False
2015-05-26,51.0,shot,M,B,NY,False,attack,Not fleeing,False
2015-05-26,24.0,shot,M,W,LA,False,attack,Not fleeing,False
2015-05-26,62.0,shot,M,W,WA,True,attack,Not fleeing,False
2015-05-27,39.0,shot,M,W,NJ,False,attack,Not fleeing,False
2015-05-27,24.0,shot,M,W,OK,True,attack,Not fleeing,False
2015-05-27,57.0,shot,M,W,GA,True,attack,Not fleeing,False
2015-05-27,20.0,shot and Tasered,M,O,CA,False,other,Not fleeing,False
2015-05-27,33.0,shot and Tasered,M,W,CA,True,other,Not fleeing,False
2015-05-28,60.0,shot,M,W,SC,False,attack,Not fleeing,False
2015-05-28,32.0,shot,M,B,CO,False,attack,Not fleeing,False
2015-05-28,40.0,shot,M,B,GA,False,attack,Not fleeing,False
2015-05-28,18.0,shot and Tasered,M,W,MI,False,attack,Not fleeing,False
2015-05-29,36.0,shot,M,B,NJ,False,other,Not fleeing,False
2015-05-29,35.0,shot,M,W,OK,False,attack,Not fleeing,False
2015-05-29,55.0,shot,M,W,OR,False,attack,Not fleeing,False
2015-05-30,19.0,shot,M,W,AZ,False,attack,Foot,False
2015-05-30,39.0,shot,M,H,TN,False,attack,Not fleeing,False
2015-05-31,40.0,shot,M,W,OR,True,attack,Not fleeing,False
2015-05-31,47.0,shot,M,W,TX,False,attack,Not fleeing,True
2015-06-01,23.0,shot,M,W,NY,True,attack,Other,False
